Depth;POINTID;OC;TH_LAT;TH_LONG;SURVEY_DATE;Elev;LC0_Desc;LC1_Desc;LU1_Desc
0-20 cm;9929102286;85.4;42.21977986;-7.199600359;16/07/18;1095;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929102326;66.1;42.57033853;-7.302535454;02/08/18;829;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929122266;89.5;42.04848211;-7.125117392;18/05/18;1009;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9929122288;41.3;42.24141281;-7.181021443;16/07/18;869;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929122342;99.8;42.71462237;-7.3203035;25/04/18;812;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929122396;35.7;43.18733759;-7.462585722;30/05/18;451;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929122450;29.6;43.65955772;-7.607956372;16/06/18;87;Cropland;Apple fruit;Kitchen gardens
0-20 cm;9929142340;31.6;42.70123429;-7.291233993;17/06/18;937;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929142438;155.5;43.55886276;-7.551197859;06/06/18;585;Shrubland;Shrubland without tree cover;Other abandoned areas
0-20 cm;9929162260;54.7;42.0039924;-7.062748973;18/05/18;1084;Cropland;Rye;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929162278;19.8;42.1618939;-7.108231422;19/05/18;854;Shrubland;Shrubland with sparse tree cover;Semi-natural and natural areas not in use
0-20 cm;9929182286;58.5;42.23613532;-7.104859374;14/07/18;1173;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929182322;97.5;42.55175059;-7.196965045;03/08/18;1219;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929182358;28;42.86714733;-7.290385551;28/04/18;547;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929202350;86.9;42.80119771;-7.245611181;29/04/18;996;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9929222276;57;42.15655632;-7.03218093;19/05/18;1244;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9929222392;39.8;43.17311481;-7.331767882;04/06/18;557;Shrubland;Shrubland with sparse tree cover;Semi-natural and natural areas not in use
0-20 cm;9929242332;31.3;42.65168689;-7.151251635;03/08/18;915;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9929242340;48.8;42.7217973;-7.171900615;17/06/18;1268;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929242344;88.4;42.75684848;-7.182249589;29/05/18;1080;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929262306;64.2;42.427826;-7.06082529;15/07/18;636;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;9929262336;27.6;42.69083645;-7.137705641;17/06/18;1307;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9929262342;29.2;42.74342044;-7.153191141;17/06/18;1181;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929282340;56.6;42.72998333;-7.12414695;17/06/18;1279;Woodland;Other coniferous woodland;Forestry
0-20 cm;9929302338;43.2;42.71653714;-7.095117011;29/05/18;1167;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929322312;126.5;42.49263551;-7.00475849;08/08/18;1264;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;9929322340;59;42.73814694;-7.076381715;18/06/18;1205;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929322406;40.3;43.31633524;-7.248382244;25/06/18;452;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929322442;134.5;43.63140426;-7.344123942;26/06/18;91;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929342300;70.3;42.39142203;-6.950546825;15/07/18;1142;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929342332;29.4;42.67208198;-7.03197634;27/06/18;1136;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9929342336;71.8;42.7071525;-7.042227449;17/06/18;1335;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9929342404;82.7;43.30294373;-7.219004823;27/06/18;331;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929342422;12.5;43.46052426;-7.266604898;27/06/18;458;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929342440;19.3;43.61805076;-7.314548778;26/06/18;65;Grassland;Grassland without tree/shrub cover;Semi-natural and natural areas not in use
0-20 cm;9929362376;49.8;43.06180426;-7.121627337;24/07/18;719;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929402338;84.8;42.73686916;-6.975700593;20/06/18;1149;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9929402410;74;43.36781151;-7.162459091;27/06/18;474;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929422386;77.5;43.16167607;-7.075560928;22/07/18;741;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9929442364;42.1;42.97293836;-6.994568176;20/07/18;482;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929442378;36.8;43.09564825;-7.030744638;24/07/18;555;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929482428;57.2;43.54183166;-7.113207482;18/07/18;96;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929562426;20.8;43.54063939;-7.01113101;09/05/18;88;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929662386;115.8;43.21023417;-6.786725618;17/05/18;1156;Bareland;Other bare soil;Semi-natural and natural areas not in use
0-20 cm;9929822380;102.8;43.18949591;-6.578738779;20/05/18;952;Woodland;Broadleaved woodland;Forestry
0-20 cm;9929862388;49.5;43.26763067;-6.550769133;16/05/18;736;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929942374;160.8;43.1604846;-6.419106885;20/05/18;1197;Shrubland;Shrubland without tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929942392;53.5;43.31853154;-6.464333047;15/05/18;587;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9929942406;214.2;43.44142153;-6.499734669;14/05/18;268;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;9929982378;52.5;43.20345472;-6.380922144;21/05/18;1039;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930002386;73.1;43.27762902;-6.376825822;21/05/18;443;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930002398;66.4;43.38300125;-6.406963205;16/05/18;946;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930002416;168.9;43.54101714;-6.452441757;18/07/18;102;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9930022410;46.7;43.49228063;-6.413026557;18/07/18;345;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930082366;72.5;43.11752336;-6.230619325;27/07/18;1159;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930102368;60.2;43.13897712;-6.211477251;21/05/18;1158;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930122406;49.7;43.47671358;-6.28185885;25/07/18;402;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930202396;31.6;43.40438644;-6.160086318;17/07/18;155;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930282398;55.5;43.4373847;-6.068206551;17/07/18;87;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930282408;31.8;43.52527293;-6.092953564;05/06/18;118;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930322350;39.6;43.02292151;-5.902677458;28/05/18;1107;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930382396;40.9;43.43895035;-5.942183932;24/07/18;295;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930402352;37.5;43.05568287;-5.811224907;12/07/18;1053;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930402384;37.8;43.33722431;-5.888662592;04/05/18;286;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930442384;27.9;43.34481504;-5.840285445;04/05/18;381;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930442394;37.9;43.43277814;-5.864620407;03/05/18;225;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930442402;79.1;43.50313774;-5.884158834;03/05/18;215;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930482384;27.3;43.35238296;-5.791897187;03/05/18;380;Woodland;Broadleaved woodland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930482410;52.2;43.58109018;-5.855193219;01/05/18;101;Grassland;Grassland without tree/shrub cover;Residential
0-20 cm;9930542362;56.3;43.17004767;-5.666474131;13/07/18;577;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930542376;45.5;43.29328433;-5.700032914;11/07/18;425;Woodland;Broadleaved woodland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930542404;35.6;43.53966948;-5.767718288;01/05/18;173;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930582366;105.2;43.21274845;-5.627750307;11/07/18;1112;Shrubland;Shrubland without tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930622388;57;43.4139018;-5.632050014;27/04/18;341;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9930642354;103;43.11825013;-5.526833422;13/07/18;690;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9930662388;49.2;43.42137225;-5.583584593;27/04/18;396;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930702378;62.1;43.34076231;-5.511277432;10/07/18;348;Woodland;Broadleaved woodland;Forestry
0-20 cm;9930702390;44.1;43.44642957;-5.539885836;05/05/18;342;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930762358;165.1;43.17567317;-5.391475214;09/07/18;590;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9930782390;22.2;43.46126133;-5.442872575;05/05/18;75;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930782398;30.3;43.53171522;-5.461911025;05/05/18;230;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930802376;41.9;43.34162902;-5.385490403;08/07/18;342;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930882346;47.4;43.09186695;-5.218674169;09/07/18;1469;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930882378;22.7;43.37393511;-5.293308639;08/07/18;182;Artificial land;Other artificial areas;Electricity, gas and thermal power distribution
0-20 cm;9930922374;24.8;43.34598848;-5.235487239;08/07/18;355;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9930942376;31.2;43.36726109;-5.21593173;08/07/18;197;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931122366;33;43.31159551;-4.974741589;06/07/18;599;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931122376;267.7;43.3998048;-4.997735107;28/05/18;396;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931182380;90.6;43.44583691;-4.934136836;05/07/18;132;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9931422360;62;43.31172213;-4.597685863;28/06/18;370;Shrubland;Shrubland with sparse tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931462364;48.2;43.35403028;-4.558130301;28/06/18;361;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931262344;52.5;43.14233644;-4.755395768;01/06/18;1310;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931302340;53;43.11406306;-4.69809535;01/06/18;1345;Woodland;Broadleaved woodland;Forestry
0-20 cm;9931322332;42.7;43.04692001;-4.656074184;02/06/18;1350;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931422336;27;43.09971934;-4.544247237;02/06/18;982;Woodland;Broadleaved woodland;Forestry
0-20 cm;9931502332;25.3;43.07824131;-4.438798487;30/05/18;1226;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9931522358;17.4;43.31145228;-4.472017422;28/06/18;124;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9931542332;61.5;43.08513885;-4.390487306;30/05/18;1134;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9931542354;31;43.27956993;-4.438918849;28/06/18;188;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931562356;92;43.30069685;-4.419100629;28/06/18;558;Shrubland;Shrubland without tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931602360;44.3;43.34293911;-4.379425536;27/06/18;177;Woodland;Broadleaved woodland;Forestry
0-20 cm;9931642320;172;42.99616562;-4.243634273;11/05/18;1102;Shrubland;Shrubland without tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931662352;40.1;43.28252467;-4.289089628;29/05/18;353;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931682350;30.5;43.26826076;-4.260477631;29/05/18;229;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931702312;64;42.93559224;-4.154032925;11/05/18;1127;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931742294;15.6;42.78306689;-4.067427771;24/06/18;861;Bareland;Other bare soil;Fallow land
0-20 cm;9931782306;49.5;42.89599172;-4.044793249;11/05/18;992;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9931782310;34.1;42.93139036;-4.053312183;21/05/18;1030;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931802326;36.1;43.07633143;-4.063356323;14/06/18;745;Woodland;Broadleaved woodland;Forestry
0-20 cm;9931802332;60.1;43.12941592;-4.076221939;14/06/18;531;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931802344;59.7;43.23557039;-4.102046355;13/06/18;577;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931802362;91.9;43.39476586;-4.141017486;26/06/18;157;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931822338;87.5;43.18586502;-4.064906231;14/06/18;277;Artificial land;Other artificial areas;Electricity, gas and thermal power distribution
0-20 cm;9931842298;16.1;42.83522614;-3.955572548;21/05/18;1085;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931842348;49.6;43.27769587;-4.062185499;13/06/18;119;Woodland;Broadleaved woodland;Forestry
0-20 cm;9931882322;60.3;43.05434498;-3.95815388;21/05/18;933;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931882352;78.6;43.31980571;-4.022272849;25/06/18;269;Woodland;Broadleaved woodland;Forestry
0-20 cm;9931882358;66.7;43.37288346;-4.035189784;26/06/18;80;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9931982326;93.6;43.10638706;-3.845731499;15/06/18;814;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932022340;62.2;43.23694929;-3.826877198;16/06/18;258;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932042344;43.4;43.2756676;-3.811085743;17/06/18;303;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932062352;59.7;43.34979159;-3.803745551;03/06/18;181;Grassland;Grassland with sparse tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932122350;78.2;43.34197574;-3.726644421;18/06/18;212;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9932162358;38.9;43.41937594;-3.694878199;24/06/18;65;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932202330;56.4;43.17792852;-3.587776155;20/06/18;873;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932202340;45.2;43.26651056;-3.608574398;21/06/18;382;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932202352;48.8;43.37279191;-3.633643172;19/06/18;280;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932282330;42.5;43.19089475;-3.490830199;21/06/18;512;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932322346;59.4;43.33912304;-3.475324092;22/06/18;221;Shrubland;Shrubland with sparse tree cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932342344;54.8;43.32462602;-3.446893568;22/06/18;172;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932362346;72.2;43.34556682;-3.426715154;22/06/18;85;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932382340;30.6;43.29560637;-3.390077588;22/06/18;296;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9932462348;65.5;43.3793035;-3.309239588;17/06/18;201;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932542338;38.9;43.3033435;-3.191650602;21/06/18;460;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9932562340;15.4;43.32423607;-3.171389456;21/06/18;322;Woodland;Broadleaved woodland;Forestry
0-10 cm;30421688;13.3;37.18142495;-4.381383817;01/06/18;933;Cropland;Olive groves;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30442240;4;42.07646614;-5.500400398;30/07/18;792;Cropland;Oats;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30481762;12;37.85021042;-4.454317182;13/05/18;271;Cropland;Durum wheat;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30502200;10.4;41.73457918;-5.338607101;23/07/18;757;Cropland;Lucerne;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30522156;15.1;41.34967625;-5.217066407;05/07/18;827;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30562176;10.3;41.53358865;-5.214344239;02/07/18;767;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30682278;17.6;42.45572194;-5.302002044;06/05/18;910;Grassland;Grassland without tree/shrub cover;Other abandoned areas
0-10 cm;30702180;18.8;41.59416832;-5.058429385;06/07/18;885;Cropland;Dry pulses;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30721674;14.7;37.106931;-4.0245189;25/06/18;945;Cropland;Olive groves;Agriculture (excluding fallow land and kitchen gardens)
0-10 cm;30742212;7.4;41.88404515;-5.081930866;29/06/18;796;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932402332;36.7;43.22790059;-3.349423358;22/06/18;353;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;9932402336;40.6;43.26335656;-3.357599234;03/06/18;459;Woodland;Broadleaved woodland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932422330;33.3;43.21336459;-3.321083828;22/06/18;428;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932542284;17;42.8243206;-3.083606981;07/07/18;767;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932562280;10.5;42.79194788;-3.051597771;07/07/18;573;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932602304;98.7;43.01117679;-3.050797464;02/07/18;497;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;9932642280;56.5;42.80439128;-2.955180343;03/07/18;808;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9932642320;40.1;43.1593875;-3.034163273;16/06/18;298;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9932642334;111.4;43.2835889;-3.062108916;10/07/18;483;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9932682264;58.6;42.66850686;-2.875828263;05/07/18;582;Shrubland;Shrubland without tree cover;Semi-natural and natural areas not in use
0-20 cm;9932682270;10.4;42.72178757;-2.887478663;03/07/18;582;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932702304;27.3;43.02672448;-2.929831194;02/07/18;479;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932722342;30;43.36703683;-2.980828123;07/07/18;235;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932742312;39.1;43.1039163;-2.897136311;16/06/18;267;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9932762332;20.5;43.28450985;-2.91232412;14/07/18;155;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9932762344;22.8;43.3909912;-2.936129511;07/07/18;71;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932822262;13.5;42.67215482;-2.703538632;20/07/18;713;Cropland;Common wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932822294;46.7;42.95639373;-2.765173617;06/07/18;649;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932842278;10.2;42.81733421;-2.710134425;18/06/18;644;Cropland;Sunflower;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932842296;24.9;42.9772081;-2.744866626;06/07/18;703;Woodland;Broadleaved woodland;Forestry
0-20 cm;9932862292;11.5;42.9447298;-2.712952891;06/07/18;630;Bareland;Other bare soil;Fallow land
0-20 cm;9932882332;37;43.30296487;-2.766459152;14/07/18;289;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9932902338;70.9;43.35928614;-2.753879952;07/08/18;480;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;9932922298;29;43.00713085;-2.651949193;09/06/18;610;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9932942242;11;42.51250688;-2.521389424;20/07/18;436;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932962280;7.2;42.85325071;-2.569156165;18/06/18;591;Cropland;Oats;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9932962304;27.7;43.06647719;-2.615056563;09/06/18;699;Woodland;Broadleaved woodland;Forestry
0-20 cm;9933022242;5.8;42.52443708;-2.425329508;31/07/18;522;Cropland;Olive groves;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9933042318;22.9;43.2028928;-2.544911013;21/07/18;378;Woodland;Pine dominated coniferous woodland;Forestry
0-20 cm;9933062268;17;42.76154816;-2.425832305;02/06/18;840;Woodland;Broadleaved woodland;Forestry
0-20 cm;9933062278;13.4;42.8504417;-2.44463858;04/06/18;0;Cropland;Dry pulses;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9933102276;23.5;42.83860704;-2.392585141;02/06/18;653;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;9933142268;43.6;42.77339492;-2.329362662;02/06/18;1073;Woodland;Broadleaved woodland;Forestry
0-20 cm;9933142276;21.6;42.8445272;-2.344290429;02/06/18;706;Woodland;Broadleaved woodland;Forestry
0-20 cm;9933162272;90.4;42.81191147;-2.312683927;02/06/18;1073;Woodland;Broadleaved woodland;Forestry
